year,mo,dy, hr, Pmean, Pstdv,  n
2016,09,20, 14, 0.951, 0.285, 12
2016,09,20, 15, 1.150, 0.429, 12
2016,09,20, 16, 0.953, 0.385, 12
2016,09,20, 17, 0.233, 0.111, 12
2016,09,20, 18, 0.058, 0.040, 12
2016,09,21, 07, 0.141, 0.112,  9
2016,09,21, 08, 0.696, 0.172, 12
2016,09,21, 09, 1.545, 0.424, 12
2016,09,21, 10, 2.027, 0.280, 12
2016,09,21, 11, 2.420, 0.104, 12
2016,09,21, 12, 2.498, 0.055, 12
2016,09,21, 13, 2.425, 0.135, 12
2016,09,21, 14, 2.116, 0.084, 12
2016,09,21, 15, 1.861, 0.124, 12
2016,09,21, 16, 1.418, 0.208, 12
2016,09,21, 17, 0.685, 0.204, 12
2016,09,21, 18, 0.157, 0.104, 12
2016,09,21, 19, 0.024, 0.017,  2
2016,09,22, 07, 0.168, 0.133,  8
2016,09,22, 08, 0.722, 0.190, 12
2016,09,22, 09, 1.123, 0.424, 12
2016,09,22, 10, 1.866, 0.159, 12
2016,09,22, 11, 2.171, 0.151, 12
2016,09,22, 12, 1.849, 0.338, 12
2016,09,22, 13, 1.344, 0.145, 12
2016,09,22, 14, 1.370, 0.332, 12
2016,09,22, 15, 1.270, 0.525, 12
2016,09,22, 16, 0.541, 0.168, 12
2016,09,22, 17, 0.216, 0.031, 12
2016,09,22, 18, 0.127, 0.062, 12
2016,09,22, 19, 0.018, 0.008,  2
2016,09,23, 07, 0.096, 0.057,  8
2016,09,23, 08, 0.307, 0.089, 12
2016,09,23, 09, 0.906, 0.568, 12
2016,09,23, 10, 1.540, 0.497, 12
2016,09,23, 11, 1.738, 0.800, 12
2016,09,23, 12, 1.611, 0.840, 12
2016,09,23, 13, 1.991, 0.614, 12
2016,09,23, 14, 2.036, 0.693, 12
2016,09,23, 15, 2.205, 0.228, 12
2016,09,23, 16, 1.659, 0.259, 12
2016,09,23, 17, 0.795, 0.323, 12
2016,09,23, 18, 0.138, 0.095, 12
